ulasan,sentiment
"Phil the Alien adalah salah satu film unik yang humornya didasarkan pada keanehan segala sesuatu, bukan lucunya yang sebenarnya.<br /><br />Awalnya memang sangat aneh dan cukup lucu, tetapi seiring berjalannya film, saya tidak lagi menganggap lelucon atau keanehan itu lucu.<br /><br />Ini adalah film beranggaran rendah (itu sendiri tidak menjadi masalah), ada beberapa karakter yang cukup menarik, namun akhirnya saya kehilangan minat.<br /><br />Saya membayangkan film ini akan menarik bagi orang yang bodoh. yang saat ini ikut ambil bagian.<br /><br />Untuk hal serupa tapi lebih baik coba ""Saudara dari planet lain""",negative
"Saya menonton film ini ketika saya berusia sekitar 12 tahun ketika film itu dirilis. Saya ingat pemandangan yang paling menakutkan adalah manusia pemakan burung besar yang bergelantungan tak berdaya dari parasut di udara. Kengeriannya. Horornya.<br /><br />Sebagai seorang anak kecil yang menonton film B murahan di Sabtu sore, saya masih bosan dengan formula film bertipe monster yang biasanya menampilkan sang pahlawan, wanita cantik yang mungkin adalah putri seorang profesor, dan resolusi bahagia ketika monster itu mati pada akhirnya. Saya tidak terlalu peduli dengan sudut pandang romantis saat berusia 12 tahun dan alur cerita yang dapat diprediksi. Saya menyukai mereka sekarang karena humor yang tidak disengaja.<br /><br />Tetapi, sekitar satu tahun kemudian, saya melihat Psycho ketika dirilis dan saya senang bahwa bintangnya, Janet Leigh, tersingkir di awal film. Saya duduk dan memperhatikan pada saat itu. Karena penulis skenario mengarang cerita, buatlah cerita seseram mungkin dan bukan berdasarkan formula yang sudah usang. Tidak ada aturan.",negative
"Jadi saya bukan penggemar berat karya Boll, tapi sekali lagi, tidak banyak yang menyukainya. Saya menikmati filmnya Postal (mungkin saya satu-satunya). Boll rupanya telah membeli hak untuk menggunakan Far Cry sejak lama, bahkan sebelum gamenya sendiri selesai. <br /><br />Orang-orang yang senang membunuh tentara bayaran dan menyusup ke laboratorium penelitian rahasia yang terletak di pulau tropis harus diperingatkan, bahwa ini bukan Far Cry... Ini adalah sesuatu yang telah direncanakan oleh Tuan Boll bersama dengan pasukan bajingannya.. Merasa kesepian di lokasi syuting, Tuan Boll mengundang tiga rekan senegaranya untuk bermain bersama. Para pemain ini bernama Til Schweiger, Udo Kier dan Ralf Moeller.<br /><br />Tiga nama yang sebenarnya sudah cukup membesarkan hati mereka di dunia perfilman. Jadi ceritanya seperti ini, Jack Carver diperankan oleh Til Schweiger (ya Carver adalah orang Jerman, semuanya memuji pria pemakan bratwurst!!) Namun menurutku akting Tils di film ini cukup keren.. Orang-orang mengeluh tentang bagaimana dia tidak benar-benar setia pada keseluruhan agenda Carver tetapi kami hanya melihat Carver dari sudut pandang orang pertama jadi kami tidak begitu tahu seperti apa dia saat menendang**.. <br /><br />Namun, alur cerita dalam film ini sudah sangat gila. Kita melihat ilmuwan gila jahat Dr. Krieger yang diperankan oleh Udo Kier, menjadikan tentara yang Bermutasi Genetik atau GMS sebagaimana mereka disebut. Melakukan penelitian rahasianya di sebuah pulau yang mengingatkan saya pada ""SPOILER"" Vancouver karena suatu alasan. Benar, tidak ada pohon palem di sini. Sebaliknya, kami mendapatkan penebang pohon yang kaya dan kaya. Kita bahkan belum melangkah JAUH sebelum aku mulai MENANGIS (mehehe) Aku tidak bisa melanjutkannya lagi.. Jika kamu ingin tetap setia pada kejahatan Bolls maka pergilah dan tonton film ini kamu tidak akan kecewa karena film ini memberikan pengalaman Boll yang sebenarnya, artinya sebagian besar akan menyebalkan.<br /><br />Ada beberapa hal yang perlu disebutkan yang menyiratkan bahwa Boll melakukan pekerjaan yang baik di beberapa area film seperti perahu yang bagus dan adegan perkelahian. Sampai seluruh pasukan GMS cromed/albino masuk ke dalam adegan dan semuanya membuatku tertawa.. Film Far Cry berbau scheisse (itu kotoran bagi kalian yang bodoh) dari seorang fa,r jika kalian ingin mengambil wiff silakan saja.. BTW Carver mendapat sahabat karib yang sangat menyebalkan yang membuat kalian ingin menembaknya pada tiga menit pertama dia muncul di layar.",negative
"Pemerannya memerankan Shakespeare.<br /><br />Shakespear kalah.<br /><br />Saya mengapresiasi upaya ini untuk memperkenalkan Shakespeare ke khalayak ramai, namun mengapa merusak sesuatu yang begitu bagus.<br /><br />Apakah karena 'The Scottish Play' adalah Shakespeare favorit saya? Saya tidak tahu. Apa yang saya tahu adalah bahwa Pendeta Bowdler (yang berarti bowdlerisasi) mencoba melakukan hal serupa di era Victoria.<br /><br />Dengan kata lain, Anda tidak dapat meningkatkan kesempurnaan.<br /><br />Saya tidak punya hal lain untuk ditulis, tetapi karena saya harus menulis setidaknya sepuluh baris teks (dan komposisi bahasa Inggris tidak pernah menjadi keahlian saya, saya hanya harus terus melanjutkan dan mengatakan bahwa film ini, seperti kata pepatah, tidak cukup.",negative
Ini film fantastis tentang tiga tahanan yang menjadi terkenal. Salah satu aktornya adalah george clooney dan saya bukan penggemarnya tetapi peran ini lumayan. Hal baik lainnya tentang film ini adalah soundtracknya (Pria yang selalu berduka). Saya merekomendasikan film ini kepada semua orang. Salam Bart,positive
"Agak tertarik dengan adegan erotisnya, hanya untuk menyadari bahwa ini adalah salah satu film paling amatir dan sulit dipercaya yang pernah saya lihat. Semacam proyek film sekolah menengah. Apa yang dipikirkan Rosanna Arquette?? Dan ada apa dengan semua karakter bawaan di kota Midwest yang aneh itu? Cukup sulit untuk terlibat dengan yang satu ini. Tidak ada pelajaran yang bisa dipetik darinya, tidak ada wawasan yang brilian, hanya kaku dan sangat konyol (tapi banyak hal, jika itu membuat Anda penasaran) yang direkam dalam video yang tidak masuk akal.... Ada apa dengan hubungan biseksual, entah dari mana, setelah semua pertemuan heteroseksual. Dan ada apa dengan tarian absurd itu, dengan semua orang memainkan peran stereotipnya? Coba saja yang ini, ini seperti jutaan mil film jelek dan terbuang sia-sia, uang yang bisa digunakan untuk membuat anak-anak kelaparan atau AIDS di Afrika.....",negative
"Beberapa film memang tidak boleh dibuat ulang. Ini salah satunya. Dengan sendirinya, ini bukanlah film yang buruk. Namun gagal menangkap cita rasa dan teror film tahun 1963 berjudul sama. Liam Neeson tampil luar biasa seperti biasanya, dan sebagian besar pemerannya bertahan, kecuali Owen Wilson, yang tidak memberikan nuansa yang tepat pada karakter Luke. Namun kesalahan terbesar dalam versi ini adalah bahwa versi ini menyimpang terlalu jauh dari kisah Shirley Jackson dalam upayanya untuk menjadi muluk-muluk dan kehilangan sebagian sensasi dari film sebelumnya demi mendapatkan efek khusus yang lebih keren. Sekali lagi saya akan mengatakan bahwa ini bukanlah film yang buruk. Namun Anda akan lebih menikmati gesekan teror di versi lama.",positive
"Film ini berhasil masuk dalam salah satu dari 10 film paling mengerikan menurut saya. Mengerikan. <br /><br />Tidak ada satu menit pun yang tidak ada pertarungan dengan satu monster atau monster lainnya. Tidak ada peluang untuk pengembangan karakter apa pun, mereka terlalu sibuk berlari dari satu pertarungan pedang ke pertarungan pedang lainnya. Saya tidak punya keterikatan emosional (kecuali dengan mesin jahat yang ingin menghancurkannya) <br /><br />Adegan-adegan tersebut secara terang-terangan dicuri dari film lain, LOTR, Star Wars, dan Matrix. <br /><br />Contoh<br /><br />>Adegan hantu di akhir dicuri dari adegan terakhir Star Wars lama bersama Yoda, Obee One, dan Vader. <br /><br />>Mesin laba-laba pada awalnya persis seperti Frodo yang diserang laba-laba di Return of the Kings. (Elijah Wood adalah korban di kedua film) dan tunggu......itu menghipnotis (menyengat) korbannya dan membungkus mereka.....uh halo????<br /><br />>Dan keseluruhan tema mesin vs. manusia ADALAH Matriks..atau Terminator.....<br /><br />Masih banyak contoh lainnya tetapi mengapa membuang-buang waktu? Dan akankah seseorang memberitahuku ada apa dengan Nazi?!?! Nazi???? <br /><br />Ada alur cerita remaja yang terburu-buru menuju kesimpulan remaja. Film tersebut tidak dapat memutuskan apakah itu film anak-anak atau film dewasa dan juga tidak terlalu berpengaruh. <br /><br />Mengerikan sekali. Sebuah kekecewaan nyata untuk sedikitnya. Simpan uang Anda.",negative
"Saya ingat film ini, itu adalah film pertama yang saya tonton di bioskop, gambarnya gelap di beberapa tempat saya sangat gugup. Itu terjadi pada tahun 74/75 Ayah saya membawa saya saudara laki-laki dan perempuan saya ke bioskop Newbury di Newbury Berkshire Inggris. Saya ingat harimau dan banyaknya salju di film juga penampilan aktor Grizzly Adams Dan Haggery. Saya rasa salah satu harimau tertembak dan mati. Jika ada yang tahu di mana menemukan ini di DVD dll tolong beri tahu saya. Bioskop sekarang telah diubah menjadi klub kebugaran yang sangat disayangkan karena bioskop terdekat sekarang berjarak 20 mil, akan sangat senang mendengar pendapat orang lain yang telah menonton film ini atau film sejenis lainnya.",positive
"Film yang buruk! Pasti sangat sulit untuk dinominasikan untuk Golden Globe. Mereka telah mengambil kisah tentang pelukis wanita Renaisans pertama yang terkenal dan menghancurkannya hingga tak bisa dikenali lagi. Keluhan saya bukan karena mereka terlalu lancang dalam mengungkapkan fakta; jika ceritanya bagus, itu akan baik-baik saja. Tapi ini sungguh aneh -- dari semua sisi, kisah nyata artis ini akan menghasilkan film yang jauh lebih baik, jadi mengapa mereka membuat naskah yang membosankan ini? Saya kira tidak cukup banyak orang telanjang dalam versi faktual. Bagian akhir film ini segera diakhiri dengan ringkasan kehidupan sang artis -- kita bisa menghemat waktu beberapa jam jika mereka menyukai sisa filmnya dengan singkat yang sama.",negative
"Setelah kesuksesan Die Hard dan sekuel-sekuelnya, tidak mengherankan jika pada tahun 1990-an, banyaknya film 'Die Hard on a .....' menghasilkan konsep orang yang salah, tempat yang salah, dan waktu yang salah. Itulah yang mereka lakukan dengan Cliffhanger, Die Hard di gunung tepat pada waktunya untuk menyelamatkan karier Sly 'Stop or My Mom Will Shoot' Stallone.<br /><br />Cliffhanger adalah salah satu impian besar bagi para pengkritik, terutama bagi mereka yang ahli dalam pendakian gunung, lompat dasar, penerbangan, ekspresi wajah, keterampilan akting. Secara keseluruhan, ada banyak alasan untuk menganggap film tersebut sebagai tumpukan sampah yang berlebihan. Stallone bahkan berhasil dikalahkan oleh seekor kuda! Namun, jika Anda melupakan semua omong kosong itu, ini sebenarnya adalah permainan yang sangat menyenangkan dan menghibur yang memberikan banyak sensasi, dan tanpa sengaja, banyak tawa.<br /><br />Anda harus menyukai kejahatan John Lithgow yang sinis, kelompok penjahatnya yang selalu ada, dan yang paling penting, agen 'pemberontak' yang dilecehkan secara permanen dan malang, Rex Linn sebagai Travers.<br /><br />Dia mungkin pernah menjadi Henry dalam 'Portrait of a Serial Killer' tapi Michael Rooker patut dicatat karena penampilannya yang membuat ngeri sebagai Hal, dia bersikeras untuk terus-menerus berteriak dalam ketidakpercayaan yang menyakitkan pada para penculiknya 'pria itu tidak pernah menyakiti siapa pun' Dan meskipun dia pasti tidak bisa, itu benar-benar terlihat seperti karakter Frank dari Ralph Waite menyeringai ketika gadis itu terjatuh hingga kematiannya.<br /><br />Sebutkan juga harus ditujukan kepada mantan aktor 'London's Burning' Craig Fairbrass sebagai penjahat asal Inggris, yang datang sebagai cropper saat menggunakan Hal sebagai Human Football, ya, Anda pasti menikmati bagian itu, Hal membutuhkan tendangan yang bagus.<br /><br />Jadi lupakan penilaian Anda yang lebih baik, siapa yang peduli jika 'itu tidak akan pernah terjadi', turunkan ekspektasi akting Anda, besarkan volume dan nikmatilah! Dan jika Anda mencari Qaulen, dialah yang memakai helikopter.",positive
"Saya sangat malang karena harus menonton ""b-movie"" ini secara keseluruhan.<br /><br />Yang ingin saya katakan adalah--- hemat waktu dan uang Anda!!! Ini pastilah film-b terburuk sepanjang masa, bahkan tidak boleh disebut film-b, lebih seperti film-f! Karena gagal dalam semua aspek yang membuat sebuah film bagus: ceritanya tidak menarik sama sekali, semua aktornya sangat tipis dan sama sekali tidak bisa dipercaya, arahannya jelek dan adegan aksinya sangat palsu hingga hampir lucu.......hampir.<br /><br />Film ini penuh dengan kalimat-kalimat jelek yang tidak akan dianggap lucu oleh orang terhormat sedikit pun.<br /><br />Film ini seharusnya ditujukan untuk laki-laki, tapi untuk semua wanita di dalamnya SANGAT tidak menarik, terutama benda tua kusut yang muncul menjelang akhir. Mereka mencoba tampil seksi dengan kostum yang aneh dan mengerikan itu, namun gagal total!!!<br /><br />Bahkan beberapa film b yang paling konyol pun masih akan membuat Anda tertawa, tapi ini terlalu menyakitkan untuk ditonton!!",negative
"Benar-benar film yang menakjubkan, jika Anda punya waktu 2,5 jam untuk menghabiskan waktu, tontonlah, Anda tidak akan menyesalinya, ini terlalu menyenangkan! Rajnikanth memikul film itu di pundaknya dan meskipun tidak ada yang lebih selain dia, saya tetap menyukainya. Musik oleh A.R.Rehman membutuhkan waktu untuk berkembang pada Anda, tetapi setelah Anda mendengarnya beberapa kali, Anda benar-benar mulai menyukainya.",positive
"Pertama-tama, mari kita luruskan beberapa hal di sini: a) Saya adalah penggemar anime - faktanya selalu seperti itu (saya selalu menonton Speed ​​Racer di Preschool). b) Saya suka beberapa B-Movies karena lucu. c) Saya sangat menyukai film Godzilla.<br /><br />Selanjutnya, saat film pertama kali ditayangkan, sepertinya ini akan menjadi film B seperti biasa, hingga FX jelek, tapi tiba-tiba- BOOM! animenya tayang! Ini adalah saat film berjalan WWWAAAAYYYYY menurun.<br /><br />Animasinya SANGAT buruk & murahan, bahkan lebih buruk dari apa yang saya ingat dari SPEED RACER, sungguh! Faktanya, itu sangat murah, salah satu dari sedikit adegan dari film yang saya ""dengan jelas"" ingat adalah ketika sekelompok anak keluar dari sekolah... & itu adalah anak-anak yang sama berulang kali! FXnya juga buruk; dinosaurus terlihat lebih buruk daripada Godzilla. Selain itu, transisi dari aksi langsung ke animasi tidak terorganisir, dialog & suara (terutama sulih suara bahasa Inggris yang saya lihat) sangat buruk & saya memohon kepada ayah saya untuk mengeluarkan kaset itu dari pemutar DVD/VHS; Satu-satunya hal yang membuat saya bertahan adalah melontarkan lelucon & komentar seperti robot & Joel/Mike di MST3K (Anda pilih musimnya). Sejujurnya, ini adalah satu-satunya cara untuk menikmati film ini dan bertahan di saat yang sama.<br /><br />Heck, aku berencana untuk menunjukkan ini kepada teman otakuku yang lain di Halloween untuk malam B-Movie. Karena bodoh, sangat menyakitkan untuk ditonton & tanpa sengaja menjadi lucu di saat yang sama, saya memberi film ini nilai 3/10, peningkatan dari 0,5/10 yang awalnya saya berikan.<br /><br />(Menurut skala penilaian saya: 3/10 berarti Cukup membosankan & buruk. Sama menyenangkannya dengan menghitung sampai tiga kecuali Anda menemukan cara untuk mengolok-oloknya, maka itu akan sama menyenangkannya dengan menghitung sampai 15.)",negative
Ini adalah film terburuk yang saya tonton di WorldFest dan juga mendapat tepuk tangan paling sedikit setelahnya! Saya hanya berpikir film ini menerima pengakuan berdasarkan jumlah aktor terkenal dalam film tersebut. Sangat menyenangkan melihat J.Beals tetapi dia hanya muncul di film selama beberapa menit. M.Parker adalah aktris yang jauh lebih baik daripada peran yang diperbolehkan. Akting lainnya sulit untuk dinilai karena filmnya sangat konyol dan mudah ditebak. Karakter utama sama sekali tidak simpatik sehingga membosankan untuk ditonton. Tidak ada kedalaman emosional yang nyata dalam cerita ini. Sebuah film yang berkisah tentang seorang aktor yang tidak bisa mendapatkan pekerjaan tidak terasa orisinal bagi saya. Perkembangan polisi juga tidak. Rasanya seperti salah satu dari banyak film langsung yang saya tonton di tahun 90an... Dan bahkan bukan film yang bagus dalam standar tersebut.<br /><br />,negative
"Kisah Karen Carpenter menunjukkan lebih banyak tentang kehidupan kompleks penyanyi Karen Carpenter. Meski gagal memberikan fakta dan detail yang akurat.<br /><br />Cynthia Gibb (memerankan Karen) bukanlah pilihan yang bagus. Dia adalah aktris yang baik, tetapi berperan sebagai Karen Carpenter yang sangat naif dan bodoh. Saya pikir peran tersebut membutuhkan karakter yang lebih kuat. Seseorang dengan kepribadian yang lebih kuat.<br /><br />Peran Louise Fletcher sebagai Agnes Carpenter sangat hebat, dia melakukan pekerjaan dengan baik sebagai ibu Karen.<br /><br />Perannya memiliki lagu-lagu bagus, yang bisa dimasukkan ke dalam album soundtrack. Sayangnya tidak, meskipun film ini berada di peringkat teratas di AS dan beberapa negara lainnya",positive
