ulasan,sentiment,ulasan_bersih,label
"Phil the Alien adalah salah satu film unik yang humornya didasarkan pada keanehan segala sesuatu, bukan lucunya yang sebenarnya.<br /><br />Awalnya memang sangat aneh dan cukup lucu, tetapi seiring berjalannya film, saya tidak lagi menganggap lelucon atau keanehan itu lucu.<br /><br />Ini adalah film beranggaran rendah (itu sendiri tidak menjadi masalah), ada beberapa karakter yang cukup menarik, namun akhirnya saya kehilangan minat.<br /><br />Saya membayangkan film ini akan menarik bagi orang yang bodoh. yang saat ini ikut ambil bagian.<br /><br />Untuk hal serupa tapi lebih baik coba ""Saudara dari planet lain""",negative,phil the alien salah unik humornya didasarkan keanehan lucunya aneh lucu seiring berjalannya menganggap lelucon keanehan lucu beranggaran rendah karakter menarik kehilangan minat membayangkan menarik bodoh ambil coba saudara planet,0
"Saya menonton film ini ketika saya berusia sekitar 12 tahun ketika film itu dirilis. Saya ingat pemandangan yang paling menakutkan adalah manusia pemakan burung besar yang bergelantungan tak berdaya dari parasut di udara. Kengeriannya. Horornya.<br /><br />Sebagai seorang anak kecil yang menonton film B murahan di Sabtu sore, saya masih bosan dengan formula film bertipe monster yang biasanya menampilkan sang pahlawan, wanita cantik yang mungkin adalah putri seorang profesor, dan resolusi bahagia ketika monster itu mati pada akhirnya. Saya tidak terlalu peduli dengan sudut pandang romantis saat berusia 12 tahun dan alur cerita yang dapat diprediksi. Saya menyukai mereka sekarang karena humor yang tidak disengaja.<br /><br />Tetapi, sekitar satu tahun kemudian, saya melihat Psycho ketika dirilis dan saya senang bahwa bintangnya, Janet Leigh, tersingkir di awal film. Saya duduk dan memperhatikan pada saat itu. Karena penulis skenario mengarang cerita, buatlah cerita seseram mungkin dan bukan berdasarkan formula yang sudah usang. Tidak ada aturan.",negative,menonton berusia tahun dirilis pemandangan menakutkan manusia pemakan burung bergelantungan berdaya parasut udara kengeriannya horornya anak menonton murahan sabtu sore bosan formula bertipe monster menampilkan sang pahlawan wanita cantik putri profesor resolusi bahagia monster mati peduli sudut pandang romantis berusia tahun alur cerita diprediksi menyukai humor disengaja tahun psycho dirilis senang bintangnya janet leigh tersingkir duduk memperhatikan penulis skenario mengarang cerita buatlah cerita seseram berdasarkan formula usang aturan,0
"Jadi saya bukan penggemar berat karya Boll, tapi sekali lagi, tidak banyak yang menyukainya. Saya menikmati filmnya Postal (mungkin saya satu-satunya). Boll rupanya telah membeli hak untuk menggunakan Far Cry sejak lama, bahkan sebelum gamenya sendiri selesai. <br /><br />Orang-orang yang senang membunuh tentara bayaran dan menyusup ke laboratorium penelitian rahasia yang terletak di pulau tropis harus diperingatkan, bahwa ini bukan Far Cry... Ini adalah sesuatu yang telah direncanakan oleh Tuan Boll bersama dengan pasukan bajingannya.. Merasa kesepian di lokasi syuting, Tuan Boll mengundang tiga rekan senegaranya untuk bermain bersama. Para pemain ini bernama Til Schweiger, Udo Kier dan Ralf Moeller.<br /><br />Tiga nama yang sebenarnya sudah cukup membesarkan hati mereka di dunia perfilman. Jadi ceritanya seperti ini, Jack Carver diperankan oleh Til Schweiger (ya Carver adalah orang Jerman, semuanya memuji pria pemakan bratwurst!!) Namun menurutku akting Tils di film ini cukup keren.. Orang-orang mengeluh tentang bagaimana dia tidak benar-benar setia pada keseluruhan agenda Carver tetapi kami hanya melihat Carver dari sudut pandang orang pertama jadi kami tidak begitu tahu seperti apa dia saat menendang**.. <br /><br />Namun, alur cerita dalam film ini sudah sangat gila. Kita melihat ilmuwan gila jahat Dr. Krieger yang diperankan oleh Udo Kier, menjadikan tentara yang Bermutasi Genetik atau GMS sebagaimana mereka disebut. Melakukan penelitian rahasianya di sebuah pulau yang mengingatkan saya pada ""SPOILER"" Vancouver karena suatu alasan. Benar, tidak ada pohon palem di sini. Sebaliknya, kami mendapatkan penebang pohon yang kaya dan kaya. Kita bahkan belum melangkah JAUH sebelum aku mulai MENANGIS (mehehe) Aku tidak bisa melanjutkannya lagi.. Jika kamu ingin tetap setia pada kejahatan Bolls maka pergilah dan tonton film ini kamu tidak akan kecewa karena film ini memberikan pengalaman Boll yang sebenarnya, artinya sebagian besar akan menyebalkan.<br /><br />Ada beberapa hal yang perlu disebutkan yang menyiratkan bahwa Boll melakukan pekerjaan yang baik di beberapa area film seperti perahu yang bagus dan adegan perkelahian. Sampai seluruh pasukan GMS cromed/albino masuk ke dalam adegan dan semuanya membuatku tertawa.. Film Far Cry berbau scheisse (itu kotoran bagi kalian yang bodoh) dari seorang fa,r jika kalian ingin mengambil wiff silakan saja.. BTW Carver mendapat sahabat karib yang sangat menyebalkan yang membuat kalian ingin menembaknya pada tiga menit pertama dia muncul di layar.",negative,penggemar berat karya boll menyukainya menikmati filmnya postal satunya boll membeli hak far cry gamenya selesai senang membunuh tentara bayaran menyusup laboratorium penelitian rahasia terletak pulau tropis diperingatkan far cry direncanakan tuan boll pasukan bajingannya kesepian lokasi syuting tuan boll mengundang rekan senegaranya bermain pemain bernama til schweiger udo kier ralf moeller nama membesarkan hati dunia perfilman ceritanya jack carver diperankan til schweiger carver jerman memuji pria pemakan bratwurst menurutku akting tils keren mengeluh setia agenda carver carver sudut pandang menendang alur cerita gila ilmuwan gila jahat krieger diperankan udo kier menjadikan tentara bermutasi genetik gms penelitian rahasianya pulau spoiler vancouver alasan pohon palem penebang pohon kaya kaya melangkah menangis mehehe melanjutkannya setia kejahatan bolls pergilah tonton kecewa pengalaman boll menyebalkan menyiratkan boll pekerjaan area perahu bagus adegan perkelahian pasukan gms cromed albino adegan membuatku tertawa far cry berbau scheisse kotoran bodoh fa mengambil wiff silakan btw carver sahabat karib menyebalkan menembaknya menit muncul layar,0
"Pemerannya memerankan Shakespeare.<br /><br />Shakespear kalah.<br /><br />Saya mengapresiasi upaya ini untuk memperkenalkan Shakespeare ke khalayak ramai, namun mengapa merusak sesuatu yang begitu bagus.<br /><br />Apakah karena 'The Scottish Play' adalah Shakespeare favorit saya? Saya tidak tahu. Apa yang saya tahu adalah bahwa Pendeta Bowdler (yang berarti bowdlerisasi) mencoba melakukan hal serupa di era Victoria.<br /><br />Dengan kata lain, Anda tidak dapat meningkatkan kesempurnaan.<br /><br />Saya tidak punya hal lain untuk ditulis, tetapi karena saya harus menulis setidaknya sepuluh baris teks (dan komposisi bahasa Inggris tidak pernah menjadi keahlian saya, saya hanya harus terus melanjutkan dan mengatakan bahwa film ini, seperti kata pepatah, tidak cukup.",negative,pemerannya memerankan shakespeare shakespear kalah mengapresiasi upaya memperkenalkan shakespeare khalayak ramai merusak bagus the scottish play shakespeare favorit pendeta bowdler bowdlerisasi mencoba era victoria meningkatkan kesempurnaan ditulis menulis sepuluh baris teks komposisi bahasa inggris keahlian melanjutkan pepatah,0
Ini film fantastis tentang tiga tahanan yang menjadi terkenal. Salah satu aktornya adalah george clooney dan saya bukan penggemarnya tetapi peran ini lumayan. Hal baik lainnya tentang film ini adalah soundtracknya (Pria yang selalu berduka). Saya merekomendasikan film ini kepada semua orang. Salam Bart,positive,fantastis tahanan terkenal salah aktornya george clooney penggemarnya peran lumayan soundtracknya pria berduka merekomendasikan bart,1
"Agak tertarik dengan adegan erotisnya, hanya untuk menyadari bahwa ini adalah salah satu film paling amatir dan sulit dipercaya yang pernah saya lihat. Semacam proyek film sekolah menengah. Apa yang dipikirkan Rosanna Arquette?? Dan ada apa dengan semua karakter bawaan di kota Midwest yang aneh itu? Cukup sulit untuk terlibat dengan yang satu ini. Tidak ada pelajaran yang bisa dipetik darinya, tidak ada wawasan yang brilian, hanya kaku dan sangat konyol (tapi banyak hal, jika itu membuat Anda penasaran) yang direkam dalam video yang tidak masuk akal.... Ada apa dengan hubungan biseksual, entah dari mana, setelah semua pertemuan heteroseksual. Dan ada apa dengan tarian absurd itu, dengan semua orang memainkan peran stereotipnya? Coba saja yang ini, ini seperti jutaan mil film jelek dan terbuang sia-sia, uang yang bisa digunakan untuk membuat anak-anak kelaparan atau AIDS di Afrika.....",negative,tertarik adegan erotisnya menyadari salah amatir sulit dipercaya proyek sekolah menengah dipikirkan rosanna arquette karakter bawaan kota midwest aneh sulit terlibat pelajaran dipetik darinya wawasan brilian kaku konyol penasaran direkam video akal hubungan biseksual pertemuan heteroseksual tarian absurd memainkan peran stereotipnya coba jutaan mil jelek terbuang sia sia uang anak anak kelaparan aids afrika,0
"Beberapa film memang tidak boleh dibuat ulang. Ini salah satunya. Dengan sendirinya, ini bukanlah film yang buruk. Namun gagal menangkap cita rasa dan teror film tahun 1963 berjudul sama. Liam Neeson tampil luar biasa seperti biasanya, dan sebagian besar pemerannya bertahan, kecuali Owen Wilson, yang tidak memberikan nuansa yang tepat pada karakter Luke. Namun kesalahan terbesar dalam versi ini adalah bahwa versi ini menyimpang terlalu jauh dari kisah Shirley Jackson dalam upayanya untuk menjadi muluk-muluk dan kehilangan sebagian sensasi dari film sebelumnya demi mendapatkan efek khusus yang lebih keren. Sekali lagi saya akan mengatakan bahwa ini bukanlah film yang buruk. Namun Anda akan lebih menikmati gesekan teror di versi lama.",positive,ulang salah satunya buruk gagal menangkap cita teror tahun berjudul liam neeson tampil pemerannya bertahan kecuali owen wilson nuansa karakter luke kesalahan terbesar versi versi menyimpang kisah shirley jackson upayanya muluk muluk kehilangan sensasi efek keren buruk menikmati gesekan teror versi,1
"Film ini berhasil masuk dalam salah satu dari 10 film paling mengerikan menurut saya. Mengerikan. <br /><br />Tidak ada satu menit pun yang tidak ada pertarungan dengan satu monster atau monster lainnya. Tidak ada peluang untuk pengembangan karakter apa pun, mereka terlalu sibuk berlari dari satu pertarungan pedang ke pertarungan pedang lainnya. Saya tidak punya keterikatan emosional (kecuali dengan mesin jahat yang ingin menghancurkannya) <br /><br />Adegan-adegan tersebut secara terang-terangan dicuri dari film lain, LOTR, Star Wars, dan Matrix. <br /><br />Contoh<br /><br />>Adegan hantu di akhir dicuri dari adegan terakhir Star Wars lama bersama Yoda, Obee One, dan Vader. <br /><br />>Mesin laba-laba pada awalnya persis seperti Frodo yang diserang laba-laba di Return of the Kings. (Elijah Wood adalah korban di kedua film) dan tunggu......itu menghipnotis (menyengat) korbannya dan membungkus mereka.....uh halo????<br /><br />>Dan keseluruhan tema mesin vs. manusia ADALAH Matriks..atau Terminator.....<br /><br />Masih banyak contoh lainnya tetapi mengapa membuang-buang waktu? Dan akankah seseorang memberitahuku ada apa dengan Nazi?!?! Nazi???? <br /><br />Ada alur cerita remaja yang terburu-buru menuju kesimpulan remaja. Film tersebut tidak dapat memutuskan apakah itu film anak-anak atau film dewasa dan juga tidak terlalu berpengaruh. <br /><br />Mengerikan sekali. Sebuah kekecewaan nyata untuk sedikitnya. Simpan uang Anda.",negative,berhasil salah mengerikan mengerikan menit pertarungan monster monster peluang pengembangan karakter sibuk berlari pertarungan pedang pertarungan pedang keterikatan emosional kecuali mesin jahat menghancurkannya adegan adegan terang terangan dicuri lotr star wars matrix contoh adegan hantu dicuri adegan star wars yoda obee one vader mesin laba laba persis frodo diserang laba laba return of the kings elijah wood korban tunggu menghipnotis menyengat korbannya membungkus uh tema mesin vs manusia matriks terminator contoh membuang buang waktu memberitahuku nazi nazi alur cerita remaja terburu buru kesimpulan remaja memutuskan anak anak dewasa berpengaruh mengerikan kekecewaan simpan uang,0
"Saya ingat film ini, itu adalah film pertama yang saya tonton di bioskop, gambarnya gelap di beberapa tempat saya sangat gugup. Itu terjadi pada tahun 74/75 Ayah saya membawa saya saudara laki-laki dan perempuan saya ke bioskop Newbury di Newbury Berkshire Inggris. Saya ingat harimau dan banyaknya salju di film juga penampilan aktor Grizzly Adams Dan Haggery. Saya rasa salah satu harimau tertembak dan mati. Jika ada yang tahu di mana menemukan ini di DVD dll tolong beri tahu saya. Bioskop sekarang telah diubah menjadi klub kebugaran yang sangat disayangkan karena bioskop terdekat sekarang berjarak 20 mil, akan sangat senang mendengar pendapat orang lain yang telah menonton film ini atau film sejenis lainnya.",positive,tonton bioskop gambarnya gelap gugup tahun ayah membawa saudara laki laki perempuan bioskop newbury newbury berkshire inggris harimau banyaknya salju penampilan aktor grizzly adams haggery salah harimau tertembak mati menemukan dvd dll tolong bioskop diubah klub kebugaran disayangkan bioskop terdekat berjarak mil senang mendengar pendapat menonton sejenis,1
"Film yang buruk! Pasti sangat sulit untuk dinominasikan untuk Golden Globe. Mereka telah mengambil kisah tentang pelukis wanita Renaisans pertama yang terkenal dan menghancurkannya hingga tak bisa dikenali lagi. Keluhan saya bukan karena mereka terlalu lancang dalam mengungkapkan fakta; jika ceritanya bagus, itu akan baik-baik saja. Tapi ini sungguh aneh -- dari semua sisi, kisah nyata artis ini akan menghasilkan film yang jauh lebih baik, jadi mengapa mereka membuat naskah yang membosankan ini? Saya kira tidak cukup banyak orang telanjang dalam versi faktual. Bagian akhir film ini segera diakhiri dengan ringkasan kehidupan sang artis -- kita bisa menghemat waktu beberapa jam jika mereka menyukai sisa filmnya dengan singkat yang sama.",negative,buruk sulit dinominasikan golden globe mengambil kisah pelukis wanita renaisans terkenal menghancurkannya dikenali keluhan lancang fakta ceritanya bagus sungguh aneh sisi kisah artis menghasilkan naskah membosankan telanjang versi faktual ringkasan kehidupan sang artis menghemat waktu jam menyukai sisa filmnya singkat,0
